,text,normal_text,label
0,Возможен ли самовывоз,возможный самовывоз,обивка
1,сделать заказ,сделать заказ,обивка
2,оплатить товар,оплатить товар,обивка
3,изменить заказ,изменить заказ,обивка
4,оформить заказ нюридическое лицо,оформить заказ нюридический лицо,обивка
5,выставочные залы,выставочный зала,обивка
6,можно потрогать,потрогать,обивка
7,креслкачественные,креслкачественный,обивка
8,можно посмотреть кресла,посмотреть кресло,обивка
9,Где можно посмотреть стулья,посмотреть стул,обивка
10,Как выбрать компьютерное кресло,выбрать компьютерный кресло,обивка
11,Чем отличается геймерское кресло от компьютерного,отличаться геймерский кресло компьютерный,обивка
12,Какие бывают кресла,какой бывать кресло,обивка
13,какие креслхорошие,какой креслхороший,обивка
14,какие креслдешевые,какой креслдешёвый,обивка
15,какие креслсамые лучшие,какой креслсамый хороший,обивка
16,колесики пол не царапают,колёсико пол царапать,обивка
17,креслне портят ламинат,креслна портить ламинат,обивка
18,креслне портят ленолиум,креслна портить ленолиум,обивка
19,креслне портят ковролин?,креслна портить ковролин ?,обивка
20,они не тяжелые,тяжёлый,обивка
21,я сам смогу собрать,смочь собрать,обивка
22,я самсмогу собрать,самсмочь собрать,обивка
23,мы сами сможем собрать,сам смочь собрать,обивка
24,инструкция есть,инструкция,обивка
25,ключи есть в комплекте,ключ комплект,обивка
26,нам сможете собрать,мы смочь собрать,обивка
27,вы нам можете собрать,мы мочь собрать,можете
28,вы нам поможете собрать,мы помочь собрать,обивка
29,давно работаете,давно работать,обивка
30,максимальная нагрузкнкресло,максимальный нагрузкнкресло,обивка
31,максимальная нагрузкнстул,максимальный нагрузкнстула,обивка
32,Посоветуйте кресло цена/качество,посоветовать кресло цена/качество,обивка
33,с какими транспортными компаниями работаете,какой транспортный компания работать,обивка
34,сколько стоит доставкдо транспортной компании,сколько стоить доставкдый транспортный компания,обивка
35,сколько стоит доставкдо офистранспортной компании,сколько стоить доставкдый офистранспортный компания,обивка
36,сколько стоит доставкдо терминалтранспортной компании,сколько стоить доставкдый терминалтранспортный компания,обивка
37,в регионы отправляете,регион отправлять,обивка
38,в регионы доставляете,регион доставлять,обивка
39,в другие регионы доставляете,другой регион доставлять,обивка
40,у Вас детские креслесть,детский креслесть,обивка
41,у Вас есть детские стулья,детский стул,обивка
42,для детей у Вас креслесть,ребёнок креслесть,обивка
43,кресла для бедных,кресло бедный,обивка
44,есть мажорские кресла,мажорский кресло,обивка
45,есть креслдля випов,креслдлить вип,обивка
46,есть креслдля вип?,креслдлить вип ?,обивка
47,кресла для VIP персон,кресло vip персона,обивка
48,есть кресла для VIP,кресло vip,обивка
49,много возьму скидка будет,взять скидка,обивка
50,я много возьму скидку сделаете,взять скидка сделать,сделаете
51,я много куплю скидку сделаете,купить скидка сделать,сделаете
52,если я несколько куплю скидку сделаете,несколько купить скидка сделать,сделаете
53,если я несколько закажу скидку сделаете,несколько заказать скидка сделать,сделаете
54,если я несколько закажу сколько будет скидка,несколько заказать сколько скидка,обивка
55,Какие сроки изготовления,какой срок изготовление,обивка
56,Какие сроки ремонта,какой срок ремонт,обивка
57,за сколько сделаете,сколько сделать,сделаете
58,за какой срок почините,срок починить,обивка
59,за какой срок отремонтируете,срок отремонтировать,обивка
60,По безналу работаете,безнал работать,обивка
61,По упрощенке работаете,упрощенок работать,обивка
62,налом можно,налом,обивка
63,налом берёте,налом брать,обивка
64,чек будет,чек,обивка
65,чек даёте,чек давать,обивка
66,Что такое механизм топган,такой механизм топгать,обивка
67,Что такое механизм топ-ган,такой механизм топ-ган,обивка
68,Что такое механизм топ ган,такой механизм топ ган,обивка
69,Как работаете механизм топ ган,работать механизм топ ган,обивка
70,Как работаете механизм топ-ган,работать механизм топ-ган,обивка
71,Как работаете механизм топган,работать механизм топгать,обивка
72,Что делать если брак,делать брак,обивка
73,с браком что делать,брак делать,обивка
74,с браком куда идти,брак идти,обивка
75,брак сдать можно,брак сдать,обивка
76,Гарантию даёте,гарантия давать,обивка
77,Сколько гарантию даёте,сколько гарантия давать,обивка
78,сколько гарантия,сколько гарантия,обивка
79,сколько гарантия,сколько гарантия,обивка
